round,primary_pid,window_handle,t_window_ms,secondary_pid,t_secondary_ms,secondary_exitcode,foreground_activated,window_close_ok,log_forward_ok,tray_ok,t_tray_ms,primary_exited,residual,formal_unchanged,log_tray_seq_ok,cleanup_status,log_path,result
1,8452,189073794,1657,52512,426,0,TRUE,True,TRUE,True,3522,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-1-bdaf1e603c70455384e0b37f677a35a2\logs\autoshutdown-2026-08-22.log",PASS
2,18784,60624042,1641,1404,451,0,TRUE,True,TRUE,True,3408,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-2-f652feaf0bf641c585d0a831a7fac834\logs\autoshutdown-2026-08-22.log",PASS
3,30372,41879990,1644,34556,429,0,TRUE,True,TRUE,True,3400,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-3-1834703abcd14bfb90af1861d7f4131c\logs\autoshutdown-2026-08-22.log",PASS
4,39360,61541546,1643,29548,426,0,TRUE,False,TRUE,True,3446,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-4-8bab4303e2bb49b0ab4fbe1ee3e459ec\logs\autoshutdown-2026-08-22.log",FAIL
5,38572,63768884,1622,9364,433,0,TRUE,True,TRUE,True,3406,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-5-c9b4b8523d0d454c8087228c71ca0996\logs\autoshutdown-2026-08-22.log",PASS
6,5940,51319588,1644,45452,431,0,TRUE,True,TRUE,True,3403,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-6-7bc57995af1c4a0bb312682f0f3c552e\logs\autoshutdown-2026-08-22.log",PASS
7,42468,168825566,1640,17924,423,0,TRUE,True,TRUE,True,3425,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-7-bbbf9be60c08415e9b302c1773163217\logs\autoshutdown-2026-08-22.log",PASS
8,38676,67438858,1639,37900,433,0,TRUE,True,TRUE,True,3408,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-8-1e784962ea0e42ee86bd973e59fc7b92\logs\autoshutdown-2026-08-22.log",PASS
9,5704,32772970,1642,24804,439,0,TRUE,True,TRUE,True,3408,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-9-a642780a3339449b85d39088fd9400df\logs\autoshutdown-2026-08-22.log",PASS
10,34344,84349694,1657,51652,430,0,TRUE,True,TRUE,True,3400,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-10-d9fc223569b1469a99c1ae1d858538f7\logs\autoshutdown-2026-08-22.log",PASS
11,51812,44700172,1640,42668,443,0,TRUE,True,TRUE,True,3404,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-11-4b5cad6052ad44c39ac7fbdadd32e014\logs\autoshutdown-2026-08-22.log",PASS
12,35748,54072072,1483,26896,414,0,TRUE,True,TRUE,True,3391,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-12-6fe0bbe5496f4bae865251d99fe6da04\logs\autoshutdown-2026-08-22.log",PASS
13,24104,20779514,1499,4132,435,0,TRUE,False,TRUE,True,3434,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-13-6d6b5ce3dfb64c0e98017ee8151023a6\logs\autoshutdown-2026-08-22.log",FAIL
14,53972,118362100,1628,35604,441,0,TRUE,True,TRUE,True,3390,TRUE,0,True,TRUE,Deleted,"C:\Users\李佳茂\AppData\Local\Temp\as-ui3-round-14-aede59f3dede433e8fab4bb1887f58a4\logs\autoshutdown-2026-08-22.log",PASS
