round,primary_pid,window_handle,t_window_ms,secondary_pid,t_secondary_ms,secondary_exitcode,foreground_activated,log_forward_ok,tray_ok,t_tray_ms,primary_exited,residual,formal_unchanged,log_path,result
1,23472,8524160,1160,11904,426,0,TRUE,TRUE,True,3688,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-1-1f707f1c35744ef99eec8a23d203193c\logs\autoshutdown-2026-08-22.log",PASS
2,7748,12650930,1175,50716,426,0,TRUE,TRUE,True,3468,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-2-79cf0975f8b84d869ef3f6ba54a26b2d\logs\autoshutdown-2026-08-22.log",PASS
3,42964,19993342,1375,31024,406,0,TRUE,TRUE,True,3465,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-3-8363df268c434c8db7e368963450855b\logs\autoshutdown-2026-08-22.log",PASS
4,36816,1836834,1174,35332,417,0,TRUE,TRUE,True,3468,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-4-9ab31bc463d540129654263f675fde10\logs\autoshutdown-2026-08-22.log",PASS
5,48072,11798892,1157,9780,422,0,TRUE,TRUE,True,3451,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-5-5e636ce793b54201a514890d39092e48\logs\autoshutdown-2026-08-22.log",PASS
6,38476,2820578,1142,16264,427,0,TRUE,TRUE,True,3471,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-6-982a4c30457d440d812e8b0c8c0dfa89\logs\autoshutdown-2026-08-22.log",PASS
7,20464,13306224,1146,25172,373,0,TRUE,TRUE,True,3456,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-7-0f461cfc10ed4e51946e22d32eeae214\logs\autoshutdown-2026-08-22.log",PASS
8,42052,21433084,1127,26536,384,0,TRUE,TRUE,True,3444,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-8-8bdec5b46dd14864a3265610fc78de2b\logs\autoshutdown-2026-08-22.log",PASS
9,18588,74453638,1156,7200,391,0,TRUE,TRUE,True,3455,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-9-57c7904bbb10457f930c664c604d1492\logs\autoshutdown-2026-08-22.log",PASS
10,11336,19139050,1141,53280,386,0,TRUE,TRUE,True,3449,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-10-b3887a45101444deb01d001d57926b8b\logs\autoshutdown-2026-08-22.log",PASS
11,48296,9505108,1157,8364,388,0,TRUE,TRUE,True,3424,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-11-729bdd6d7ac9494ab83e9ac6bf6788d5\logs\autoshutdown-2026-08-22.log",PASS
12,26360,8391030,1145,42472,382,0,TRUE,TRUE,True,3445,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-12-549470af52394d89b3b5801388a64213\logs\autoshutdown-2026-08-22.log",PASS
13,30204,9570180,1156,44352,384,0,TRUE,TRUE,True,3447,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-13-f0e8d9fc11fa484ca4af403ea8a8375f\logs\autoshutdown-2026-08-22.log",PASS
14,36000,17500474,1172,48448,401,0,TRUE,TRUE,True,3446,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-14-1aab79de61794440a6f9eb2abee35af4\logs\autoshutdown-2026-08-22.log",PASS
15,36068,58001942,1154,36880,401,0,TRUE,TRUE,True,3454,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-15-d7cbfe155dec47998b4213d869ffce4d\logs\autoshutdown-2026-08-22.log",PASS
16,6808,9046390,1125,9552,395,0,TRUE,TRUE,True,3441,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-16-f19f10dfa7c547a6956f1926045236a3\logs\autoshutdown-2026-08-22.log",PASS
17,15148,4393492,1155,44224,377,0,TRUE,TRUE,True,3431,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-17-ff7d2db888544249a0f0b2cf8292b4bc\logs\autoshutdown-2026-08-22.log",PASS
18,21488,10226004,1125,7348,382,0,TRUE,TRUE,True,3434,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-18-10da3eedf5cb48c19305e8ba8cfd8b1c\logs\autoshutdown-2026-08-22.log",PASS
19,24080,39389638,1142,41668,415,0,TRUE,TRUE,True,3448,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-19-e1ad3b16bc3c47548c5ee607d2b7f357\logs\autoshutdown-2026-08-22.log",PASS
20,16492,22677812,1139,35212,376,0,TRUE,TRUE,True,3451,TRUE,0,True,"C:\Users\李佳茂\AppData\Local\Temp\as-d1-round-20-62bcc15c068b4fec8d5a85e0c746a3e9\logs\autoshutdown-2026-08-22.log",PASS
